2020-02-07,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Encourage self-initiated quarantine); Educate and actively communicate with the public (Encourage hand hygiene)"
2020-02-07,"(vi) Social distancing","Closure of educational institutions (Partial closure of kindergartens); Measures for special populations (Measures to limit contact to the elderly); Closure of educational institutions (Reduction of excursions, out-of-house events); Mass gathering cancellation (Limit up to 5000 persons); Work safety protocols ()"
2020-02-10,"(v) Risk communication","Educate and actively communicate with the public (Respiratory etiquette)"
2020-02-12,"(i) Case identification, contact tracing and related measures","Airport health check (Test travellers with fever or symptoms); Border health check (Health declaration)"
2020-02-12,"(vii) Travel restriction","Airport restriction (Entry ban to people from high-risk areas other than China)"
2020-02-15,"(vi) Social distancing","Mass gathering cancellation (Limit up to 1000 persons)"
2020-02-16,"(v) Risk communication","Actively communicate with stakeholders (); Educate and actively communicate with the public (Encourage public hygiene)"
2020-02-18,"(iii) Healthcare and public health capacity","Repurpose hospitals (Requisition private hospitals); Increase healthcare workforce (Train medical staff specially for covid-19)"
2020-02-19,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-02-22,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-23,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-02-27,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas)"
2020-02-27,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-02-29,"(vii) Travel restriction","Border restriction (Entry ban to people from China)"
2020-03-03,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-04,"(i) Case identification, contact tracing and related measures","Border health check (Test at the border)"
2020-03-05,"(i) Case identification, contact tracing and related measures","Airport health check (Test travellers with fever or symptoms); Border health check (Test at the border); Enhance detection system (Broaden definition / special definition); Quarantine (All incomings from high-risk areas)"
2020-03-05,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase testing capacity (number tests))"
2020-03-05,"(v) Risk communication","Educate and actively communicate with the public (Information campaign)"
2020-03-05,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-06,"(v) Risk communication","Educate and actively communicate with the public (Encourage public hygiene)"
2020-03-10,"(v) Risk communication","Educate and actively communicate with the public (Encourage self-initiated quarantine)"
2020-03-11,"(vi) Social distancing","Measures for special populations (Measures to limit contact to the elderly)"
2020-03-12,"(iii) Healthcare and public health capacity","Increase patient capacity (Increase ICU capacity)"
2020-03-12,"(vi) Social distancing","Mass gathering cancellation (Place of worship)"
2020-03-13,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Travel alert and warning (Warning against travel to and return from high risk areas); Educate and actively communicate with the public (Use of public transport)"
2020-03-13,"(vi) Social distancing","Mass gathering cancellation (Limit up to 250 persons); Mass gathering cancellation (Place of worship); Special measures for certain establishments (Entertainment venues); Special measures for certain establishments (Food services); Special measures for certain establishments (Sport centers); Work safety protocols ()"
2020-03-13,"(vii) Travel restriction","Port and ship restriction (Deny entry to boats with more than 100 passengers)"
2020-03-15,"(v) Risk communication","Travel alert and warning (Warning against travel to and return from high risk areas)"
2020-03-16,"(i) Case identification, contact tracing and related measures","Airport health check (Test travellers with fever or symptoms); Border health check (Test at the border if symptomatic); Quarantine (All incomings from high-risk areas)"
2020-03-16,"(vii) Travel restriction","Border restriction (Entry ban to people from high-risk areas other than China)"
2020-03-17,"(i) Case identification, contact tracing and related measures","Border health check (Health certificate requested); Quarantine (All incomings from high-risk areas)"
2020-03-17,"(v) Risk communication","Call for return of nationals living abroad (Students)"
2020-03-19,"(v) Risk communication","Educate and actively communicate with the public (Promote the 2m distance)"
2020-03-20,"(i) Case identification, contact tracing and related measures","Tracing and tracking (Contact tracking)"
2020-03-20,"(ii) Environmental measures","Environmental cleaning and disinfection (Working places)"
2020-03-20,"(iv) Resource allocation","Provide international help ()"
2020-03-20,"(v) Risk communication","Educate and actively communicate with the public (Recommendation for home office); Educate and actively communicate with the public (Encourage stay at home)"
2020-03-20,"(vi) Social distancing","Mass gathering cancellation (Limit up to 1000 persons)"
2020-03-20,"(vii) Travel restriction","Non-essential travels forbidden ()"
2020-03-21,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings)"
2020-03-22,"(vi) Social distancing","Measures for special populations (Measures to limit contact to the elderly)"
2020-03-23,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Special measure for healthcare workers)"
2020-03-24,"(vii) Travel restriction","Border restriction (Entry ban to non-citizens)"
2020-03-26,"(iv) Resource allocation","Police and army interventions (To enforce social distancing)"
2020-03-26,"(vi) Social distancing","Small gathering cancellation (Limit up to 10 persons)"
2020-03-27,"(i) Case identification, contact tracing and related measures","Airport health check (Health certificate requested)"
2020-03-27,"(vi) Social distancing","Mass gathering cancellation (Festivals, faith-based events); Special measures for certain establishments (Entertainment venues); Special measures for certain establishments (Museums, events)"
