2020-03-17,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-18,"(i) Case identification, contact tracing and related measures","Quarantine (All incomings from high-risk areas); Airport health check (Health screening of passengers)"
2020-03-18,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities)"
2020-03-18,"(vii) Travel restriction","Airport restriction (Landing bans on aircrafts from high risk areas)"
2020-03-20,"(i) Case identification, contact tracing and related measures","Border health check (For international cruise/merchandise boat personal); Enhance detection system (Extended testing)"
2020-03-20,"(iii) Healthcare and public health capacity","Increase patient capacity (Postponement of non-essential care and non-urgent operations in hospitals); Increase isolation and quarantine facilities (); Increase healthcare workforce (Mobilization of domestic resources for health)"
2020-03-20,"(iv) Resource allocation","Crisis management plans (Risk management plan)"
2020-03-20,"(v) Risk communication","Actively communicate with healthcare professionals (Recommend to prepare to receive patients)"
2020-03-21,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Increase laboratory facilities)"
2020-03-21,"(v) Risk communication","Educate and actively communicate with the public (WhatsApp bot)"
2020-03-22,"(iii) Healthcare and public health capacity","Case management (Hospitals prepared to treat)"
2020-03-22,"(v) Risk communication","Educate and actively communicate with the public (Encourage stay at home)"
2020-03-22,"(vii) Travel restriction","Airport restriction (Cancellation of international flights)"
2020-03-23,"(v) Risk communication","Actively communicate with healthcare professionals (Advisory on the use of hydroxy-chloroquin as prophylaxis for SARS-CoV-2 infection)"
2020-03-24,"(iii) Healthcare and public health capacity","Enhance laboratory testing capacity (Decrease time between test and result)"
2020-03-24,"(v) Risk communication","Actively communicate with healthcare professionals (Guidelines)"
2020-03-25,"(iii) Healthcare and public health capacity","Increase healthcare workforce (Train medical staff specially for covid-19)"
2020-03-25,"(v) Risk communication","Actively communicate with healthcare professionals (Role of Frontline Workers in Prevention and Management of CORONA VIRUS)"
2020-03-25,"(vii) Travel restriction","National lockdown (for 21 days)"
2020-03-26,"(iv) Resource allocation","Crisis management plans (Develop all-of-society and business continuity plans); The government provide assistance to vulnerable populations (The government provides food assistance); Crisis management plans (State aid, taxation and social security)"
2020-03-26,"(v) Risk communication","Educate and actively communicate with the public (Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only)"
2020-03-28,"(v) Risk communication","Actively communicate with healthcare professionals (Sensitization of hospital, medico-social and liberal health professionals)"
